,,timestamp,duration,number_of_trees,training_rmse,training_mae,training_deviance
0,,2019-04-11 18:50:29, 0.321 sec,0.0,,,
1,,2019-04-11 18:50:29, 0.333 sec,1.0,0.5457676343467154,0.3100711541810059,0.29786231070040997
2,,2019-04-11 18:50:29, 0.342 sec,2.0,0.5530307544108723,0.3271864295339718,0.3058430153242586
3,,2019-04-11 18:50:29, 0.350 sec,3.0,0.5429394386021289,0.32950752916790194,0.29478323398959494
4,,2019-04-11 18:50:29, 0.358 sec,4.0,0.540544445801511,0.3433732748810762,0.29218829788686257
5,,2019-04-11 18:50:29, 0.366 sec,5.0,0.5324788562299353,0.34872075981066053,0.2835337323319401
6,,2019-04-11 18:50:29, 0.374 sec,6.0,0.516818351808812,0.3452155545119085,0.2671012087663769
7,,2019-04-11 18:50:29, 0.382 sec,7.0,0.5029539117115805,0.33946351246044093,0.2529626373059804
8,,2019-04-11 18:50:29, 0.389 sec,8.0,0.49286323269441734,0.33763571325300523,0.24291416614199138
9,,2019-04-11 18:50:29, 0.398 sec,9.0,0.4814922132246669,0.3378007397246904,0.2318347513959881
10,,2019-04-11 18:50:29, 0.407 sec,10.0,0.4716246208218018,0.3327146514318448,0.2224297829653083
